gamma,tdxy,zdamping,nbadballs
0.25,0.1,0.1,576
0.25,0.1,0.2,557
0.25,0.1,0.30000000000000004,549
0.25,0.1,0.4,547
0.25,0.1,0.5,548
0.25,0.1,0.6000000000000001,548
0.25,0.1,0.7000000000000001,549
0.25,0.1,0.8,548
0.25,0.1,0.9,547
0.25,0.1,1.0,547
0.25,0.1,1.1,546
0.25,0.1,1.2000000000000002,547
0.25,0.1,1.3,547
0.25,0.1,1.4000000000000001,547
0.25,0.1,1.5,547
0.25,0.1,1.6,547
0.25,0.1,1.7000000000000002,547
0.25,0.1,1.8,547
0.25,0.1,1.9000000000000001,547
0.25,0.1,2.0,547
0.25,0.2,0.1,587
0.25,0.2,0.2,572
0.25,0.2,0.30000000000000004,566
0.25,0.2,0.4,564
0.25,0.2,0.5,562
0.25,0.2,0.6000000000000001,562
0.25,0.2,0.7000000000000001,561
0.25,0.2,0.8,561
0.25,0.2,0.9,562
0.25,0.2,1.0,561
0.25,0.2,1.1,562
0.25,0.2,1.2000000000000002,561
0.25,0.2,1.3,561
0.25,0.2,1.4000000000000001,561
0.25,0.2,1.5,561
0.25,0.2,1.6,561
0.25,0.2,1.7000000000000002,561
0.25,0.2,1.8,561
0.25,0.2,1.9000000000000001,561
0.25,0.2,2.0,561
0.25,0.30000000000000004,0.1,598
0.25,0.30000000000000004,0.2,590
0.25,0.30000000000000004,0.30000000000000004,577
0.25,0.30000000000000004,0.4,569
0.25,0.30000000000000004,0.5,566
0.25,0.30000000000000004,0.6000000000000001,564
0.25,0.30000000000000004,0.7000000000000001,564
0.25,0.30000000000000004,0.8,564
0.25,0.30000000000000004,0.9,563
0.25,0.30000000000000004,1.0,564
0.25,0.30000000000000004,1.1,564
0.25,0.30000000000000004,1.2000000000000002,564
0.25,0.30000000000000004,1.3,564
0.25,0.30000000000000004,1.4000000000000001,564
0.25,0.30000000000000004,1.5,564
0.25,0.30000000000000004,1.6,564
0.25,0.30000000000000004,1.7000000000000002,564
0.25,0.30000000000000004,1.8,563
0.25,0.30000000000000004,1.9000000000000001,564
0.25,0.30000000000000004,2.0,563
0.25,0.4,0.1,607
0.25,0.4,0.2,593
0.25,0.4,0.30000000000000004,586
0.25,0.4,0.4,581
0.25,0.4,0.5,576
0.25,0.4,0.6000000000000001,573
0.25,0.4,0.7000000000000001,570
0.25,0.4,0.8,568
0.25,0.4,0.9,568
0.25,0.4,1.0,566
0.25,0.4,1.1,567
0.25,0.4,1.2000000000000002,567
0.25,0.4,1.3,568
0.25,0.4,1.4000000000000001,567
0.25,0.4,1.5,566
0.25,0.4,1.6,566
0.25,0.4,1.7000000000000002,566
0.25,0.4,1.8,567
0.25,0.4,1.9000000000000001,567
0.25,0.4,2.0,568
0.25,0.5,0.1,613
0.25,0.5,0.2,599
0.25,0.5,0.30000000000000004,595
0.25,0.5,0.4,589
0.25,0.5,0.5,584
0.25,0.5,0.6000000000000001,582
0.25,0.5,0.7000000000000001,580
0.25,0.5,0.8,579
0.25,0.5,0.9,578
0.25,0.5,1.0,578
0.25,0.5,1.1,576
0.25,0.5,1.2000000000000002,575
0.25,0.5,1.3,575
0.25,0.5,1.4000000000000001,573
0.25,0.5,1.5,573
0.25,0.5,1.6,573
0.25,0.5,1.7000000000000002,574
0.25,0.5,1.8,574
0.25,0.5,1.9000000000000001,573
0.25,0.5,2.0,574
0.25,0.6000000000000001,0.1,616
0.25,0.6000000000000001,0.2,606
0.25,0.6000000000000001,0.30000000000000004,599
0.25,0.6000000000000001,0.4,597
0.25,0.6000000000000001,0.5,591
0.25,0.6000000000000001,0.6000000000000001,592
0.25,0.6000000000000001,0.7000000000000001,587
0.25,0.6000000000000001,0.8,586
0.25,0.6000000000000001,0.9,584
0.25,0.6000000000000001,1.0,583
0.25,0.6000000000000001,1.1,583
0.25,0.6000000000000001,1.2000000000000002,581
0.25,0.6000000000000001,1.3,582
0.25,0.6000000000000001,1.4000000000000001,581
0.25,0.6000000000000001,1.5,579
0.25,0.6000000000000001,1.6,581
0.25,0.6000000000000001,1.7000000000000002,580
0.25,0.6000000000000001,1.8,583
0.25,0.6000000000000001,1.9000000000000001,580
0.25,0.6000000000000001,2.0,582
0.25,0.7000000000000001,0.1,617
0.25,0.7000000000000001,0.2,608
0.25,0.7000000000000001,0.30000000000000004,604
0.25,0.7000000000000001,0.4,601
0.25,0.7000000000000001,0.5,597
0.25,0.7000000000000001,0.6000000000000001,595
0.25,0.7000000000000001,0.7000000000000001,593
0.25,0.7000000000000001,0.8,591
0.25,0.7000000000000001,0.9,589
0.25,0.7000000000000001,1.0,585
0.25,0.7000000000000001,1.1,583
0.25,0.7000000000000001,1.2000000000000002,582
0.25,0.7000000000000001,1.3,581
0.25,0.7000000000000001,1.4000000000000001,583
0.25,0.7000000000000001,1.5,581
0.25,0.7000000000000001,1.6,580
0.25,0.7000000000000001,1.7000000000000002,582
0.25,0.7000000000000001,1.8,580
0.25,0.7000000000000001,1.9000000000000001,582
0.25,0.7000000000000001,2.0,583
0.25,0.8,0.1,617
0.25,0.8,0.2,614
0.25,0.8,0.30000000000000004,606
0.25,0.8,0.4,602
0.25,0.8,0.5,600
0.25,0.8,0.6000000000000001,596
0.25,0.8,0.7000000000000001,595
0.25,0.8,0.8,593
0.25,0.8,0.9,591
0.25,0.8,1.0,590
0.25,0.8,1.1,587
0.25,0.8,1.2000000000000002,585
0.25,0.8,1.3,584
0.25,0.8,1.4000000000000001,583
0.25,0.8,1.5,583
0.25,0.8,1.6,583
0.25,0.8,1.7000000000000002,584
0.25,0.8,1.8,586
0.25,0.8,1.9000000000000001,586
0.25,0.8,2.0,585
0.25,0.9,0.1,620
0.25,0.9,0.2,614
0.25,0.9,0.30000000000000004,607
0.25,0.9,0.4,602
0.25,0.9,0.5,600
0.25,0.9,0.6000000000000001,599
0.25,0.9,0.7000000000000001,599
0.25,0.9,0.8,597
0.25,0.9,0.9,598
0.25,0.9,1.0,596
0.25,0.9,1.1,593
0.25,0.9,1.2000000000000002,595
0.25,0.9,1.3,590
0.25,0.9,1.4000000000000001,593
0.25,0.9,1.5,588
0.25,0.9,1.6,588
0.25,0.9,1.7000000000000002,587
0.25,0.9,1.8,588
0.25,0.9,1.9000000000000001,589
0.25,0.9,2.0,588
0.25,1.0,0.1,620
0.25,1.0,0.2,613
0.25,1.0,0.30000000000000004,608
0.25,1.0,0.4,606
0.25,1.0,0.5,601
0.25,1.0,0.6000000000000001,599
0.25,1.0,0.7000000000000001,598
0.25,1.0,0.8,601
0.25,1.0,0.9,598
0.25,1.0,1.0,602
0.25,1.0,1.1,599
0.25,1.0,1.2000000000000002,591
0.25,1.0,1.3,594
0.25,1.0,1.4000000000000001,592
0.25,1.0,1.5,595
0.25,1.0,1.6,591
0.25,1.0,1.7000000000000002,593
0.25,1.0,1.8,590
0.25,1.0,1.9000000000000001,594
0.25,1.0,2.0,594
0.25,1.1,0.1,622
0.25,1.1,0.2,614
0.25,1.1,0.30000000000000004,608
0.25,1.1,0.4,608
0.25,1.1,0.5,604
0.25,1.1,0.6000000000000001,603
0.25,1.1,0.7000000000000001,602
0.25,1.1,0.8,600
0.25,1.1,0.9,599
0.25,1.1,1.0,598
0.25,1.1,1.1,601
0.25,1.1,1.2000000000000002,600
0.25,1.1,1.3,595
0.25,1.1,1.4000000000000001,595
0.25,1.1,1.5,599
0.25,1.1,1.6,595
0.25,1.1,1.7000000000000002,596
0.25,1.1,1.8,595
0.25,1.1,1.9000000000000001,597
0.25,1.1,2.0,595
0.25,1.2000000000000002,0.1,622
